key,version,mag,place,time,updated,tz,url,detail,status,tsunami,sig,net,code,ids,sources,types,dmin,rms,gap,magType,type,title,coordinates,nst,felt,cdi
hv60859986,1,1.8,"6km SW of Volcano, Hawaii",1424922075500,1424922422148,-600,http://earthquake.usgs.gov/earthquakes/eventpage/hv60859986,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv60859986.geojson,AUTOMATIC,0,50,hv,60859986,",hv60859986,",",hv,",",general-link,general-link,geoserve,nearby-cities,origin,",0.008983149999999999,0.24000000000000002,46.8,Ml,earthquake,"M 1.8 - 6km SW of Volcano, Hawaii","-155.288,19.391800000000003,4.1",,,
nc72401815,1,2.2600000000000002,"1km NNW of The Geysers, California",1424920644340,1424921887168,-480,http://earthquake.usgs.gov/earthquakes/eventpage/nc72401815,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72401815.geojson,automatic,0,79,nc,72401815,",nc72401815,",",nc,",",dyfi,focal-mechanism,general-link,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",0.020550000000000002,0.05,39,md,earthquake,"M 2.3 - 1km NNW of The Geysers, California","-122.76166530000002,38.794334400000004,2.6",49,0,1
nc72401820,1,1.1800000000000002,"6km NW of The Geysers, California",1424920799810,1424922543742,-480,http://earthquake.usgs.gov/earthquakes/eventpage/nc72401820,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72401820.geojson,automatic,0,21,nc,72401820,",nc72401820,",",nc,",",general-link,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",0.009665,0.03,53,md,earthquake,"M 1.2 - 6km NW of The Geysers, California","-122.8168335,38.8095016,2.98",22,,
nc72401825,1,0.81,"7km NW of The Geysers, California",1424921172580,1424921268420,-480,http://earthquake.usgs.gov/earthquakes/eventpage/nc72401825,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72401825.geojson,automatic,0,10,nc,72401825,",nc72401825,",",nc,",",general-link,general-link,geoserve,nearby-cities,origin,phase-data,",0.011489999999999998,0.02,61,md,earthquake,"M 0.8 - 7km NW of The Geysers, California","-122.8219986,38.81666559999999,3.3899999999999997",10,,
